   Time     Util N  Util P  Cell Pot   Uocp      Curr      Temp   heatgen
   (min)       x       y      (V)       (V)      (A/m2)    (C)    (W/m2)
  
    0.920, 0.5866, 0.5078,  3.99852,  4.05571,    35.00,  24.85,   2.00, 
    1.012, 0.5853, 0.5086,  3.99649,  4.05506,    35.00,  24.85,   2.04, 
    1.113, 0.5838, 0.5095,  3.99412,  4.05434,    35.00,  24.85,   2.10, 
    1.225, 0.5822, 0.5104,  3.99130,  4.05355,    35.00,  24.85,   2.17, 
    1.348, 0.5804, 0.5115,  3.98790,  4.05267,    35.00,  24.85,   2.26, 
    1.483, 0.5785, 0.5126,  3.98372,  4.05166,    35.00,  24.85,   2.37, 
    1.632, 0.5763, 0.5139,  3.97859,  4.05047,    35.00,  24.85,   2.51, 
    1.795, 0.5739, 0.5153,  3.97245,  4.04901,    35.00,  24.85,   2.67, 
    1.975, 0.5713, 0.5168,  3.96554,  4.04708,    35.00,  24.85,   2.84, 
    2.173, 0.5685, 0.5185,  3.95856,  4.04435,    35.00,  24.85,   2.98, 
    2.390, 0.5653, 0.5203,  3.95231,  4.04027,    35.00,  24.85,   3.05, 
    2.629, 0.5618, 0.5223,  3.94717,  4.03410,    35.00,  24.85,   3.00, 
    2.893, 0.5580, 0.5246,  3.94296,  4.02555,    35.00,  24.85,   2.85, 
    3.182, 0.5538, 0.5270,  3.93919,  4.01584,    35.00,  24.85,   2.68, 
    3.501, 0.5492, 0.5298,  3.93532,  4.00746,    35.00,  24.85,   2.54, 
    3.851, 0.5441, 0.5327,  3.93083,  4.00174,    35.00,  24.85,   2.49, 
    4.237, 0.5385, 0.5360,  3.92529,  3.99796,    35.00,  24.85,   2.54, 
    4.661, 0.5323, 0.5396,  3.91824,  3.99465,    35.00,  24.85,   2.65, 
    5.127, 0.5256, 0.5436,  3.90908,  3.99044,    35.00,  24.85,   2.81, 
    5.640, 0.5181, 0.5479,  3.89694,  3.98390,    35.00,  24.85,   2.99, 
    6.153, 0.5107, 0.5523,  3.88259,  3.97449,    35.00,  24.85,   3.15, 
    6.666, 0.5032, 0.5567,  3.86676,  3.96172,    35.00,  24.85,   3.26, 
    7.179, 0.4958, 0.5610,  3.85100,  3.94582,    35.00,  24.85,   3.27, 
    7.692, 0.4883, 0.5654,  3.83691,  3.92795,    35.00,  24.85,   3.16, 
    8.205, 0.4809, 0.5697,  3.82547,  3.90995,    35.00,  24.85,   2.94, 
    8.718, 0.4734, 0.5741,  3.81674,  3.89370,    35.00,  24.85,   2.69, 
    9.231, 0.4660, 0.5785,  3.81011,  3.88033,    35.00,  24.85,   2.47, 
    9.744, 0.4585, 0.5828,  3.80484,  3.87006,    35.00,  24.85,   2.30, 
   10.257, 0.4511, 0.5872,  3.80033,  3.86241,    35.00,  24.85,   2.19, 
   10.770, 0.4436, 0.5915,  3.79615,  3.85664,    35.00,  24.85,   2.13, 
   11.283, 0.4362, 0.5959,  3.79204,  3.85203,    35.00,  24.85,   2.11, 
   11.796, 0.4287, 0.6003,  3.78783,  3.84802,    35.00,  24.85,   2.11, 
   12.309, 0.4213, 0.6046,  3.78343,  3.84423,    35.00,  24.85,   2.13, 
   12.822, 0.4138, 0.6090,  3.77881,  3.84041,    35.00,  24.85,   2.16, 
   13.335, 0.4064, 0.6133,  3.77396,  3.83644,    35.00,  24.85,   2.19, 
   13.848, 0.3989, 0.6177,  3.76891,  3.83227,    35.00,  24.85,   2.22, 
   14.361, 0.3915, 0.6221,  3.76368,  3.82789,    35.00,  24.85,   2.26, 
   14.874, 0.3840, 0.6264,  3.75831,  3.82333,    35.00,  24.85,   2.29, 
   15.387, 0.3766, 0.6308,  3.75284,  3.81862,    35.00,  24.85,   2.32, 
   15.900, 0.3691, 0.6351,  3.74730,  3.81381,    35.00,  24.85,   2.35, 
   16.413, 0.3617, 0.6395,  3.74173,  3.80896,    35.00,  24.85,   2.37, 
   16.926, 0.3542, 0.6439,  3.73616,  3.80410,    35.00,  24.85,   2.39, 
   17.439, 0.3468, 0.6482,  3.73062,  3.79927,    35.00,  24.85,   2.41, 
   17.952, 0.3393, 0.6526,  3.72513,  3.79450,    35.00,  24.85,   2.43, 
   18.465, 0.3319, 0.6569,  3.71971,  3.78982,    35.00,  24.85,   2.45, 
   18.978, 0.3245, 0.6613,  3.71437,  3.78524,    35.00,  24.85,   2.47, 
   19.491, 0.3170, 0.6656,  3.70913,  3.78075,    35.00,  24.85,   2.49, 
   20.004, 0.3096, 0.6700,  3.70398,  3.77635,    35.00,  24.85,   2.50, 
   20.517, 0.3021, 0.6744,  3.69893,  3.77200,    35.00,  24.85,   2.52, 
   21.030, 0.2947, 0.6787,  3.69395,  3.76767,    35.00,  24.85,   2.54, 
   21.543, 0.2872, 0.6831,  3.68891,  3.76332,    35.00,  24.85,   2.57, 
   22.056, 0.2798, 0.6874,  3.68363,  3.75891,    35.00,  24.85,   2.60, 
   22.569, 0.2723, 0.6918,  3.67803,  3.75439,    35.00,  24.85,   2.65, 
   23.082, 0.2649, 0.6962,  3.67213,  3.74973,    35.00,  24.85,   2.70, 
   23.595, 0.2574, 0.7005,  3.66596,  3.74488,    35.00,  24.85,   2.75, 
   24.108, 0.2500, 0.7049,  3.65957,  3.73981,    35.00,  24.85,   2.81, 
   24.621, 0.2425, 0.7092,  3.65301,  3.73453,    35.00,  24.85,   2.86, 
   25.134, 0.2351, 0.7136,  3.64634,  3.72902,    35.00,  24.85,   2.91, 
   25.647, 0.2276, 0.7180,  3.63959,  3.72329,    35.00,  24.85,   2.95, 
   26.160, 0.2202, 0.7223,  3.63280,  3.71736,    35.00,  24.85,   2.98, 
   26.673, 0.2127, 0.7267,  3.62600,  3.71126,    35.00,  24.85,   3.01, 
   27.186, 0.2053, 0.7310,  3.61918,  3.70502,    35.00,  24.85,   3.03, 
   27.699, 0.1978, 0.7354,  3.61233,  3.69867,    35.00,  24.85,   3.05, 
   28.212, 0.1904, 0.7398,  3.60539,  3.69227,    35.00,  24.85,   3.07, 
   28.725, 0.1829, 0.7441,  3.59836,  3.68583,    35.00,  24.85,   3.09, 
   29.238, 0.1755, 0.7485,  3.59133,  3.67940,    35.00,  24.85,   3.10, 
   29.751, 0.1680, 0.7528,  3.58481,  3.67300,    35.00,  24.85,   3.09, 
   30.264, 0.1606, 0.7572,  3.57971,  3.66661,    35.00,  24.85,   3.01, 
   30.777, 0.1531, 0.7616,  3.57560,  3.66018,    35.00,  24.85,   2.89, 
   31.290, 0.1457, 0.7659,  3.57187,  3.65363,    35.00,  24.85,   2.79, 
   31.803, 0.1382, 0.7703,  3.56832,  3.64688,    35.00,  24.85,   2.70, 
   32.316, 0.1308, 0.7746,  3.56487,  3.64000,    35.00,  24.85,   2.63, 
   32.829, 0.1233, 0.7790,  3.56150,  3.63346,    35.00,  24.85,   2.58, 
   33.342, 0.1159, 0.7834,  3.55813,  3.62799,    35.00,  24.85,   2.55, 
   33.855, 0.1084, 0.7877,  3.55465,  3.62407,    35.00,  24.85,   2.53, 
   34.368, 0.1010, 0.7921,  3.55070,  3.62151,    35.00,  24.85,   2.54, 
   34.881, 0.0935, 0.7964,  3.54582,  3.61968,    35.00,  24.85,   2.60, 
   35.394, 0.0861, 0.8008,  3.53898,  3.61795,    35.00,  24.85,   2.77, 
   35.907, 0.0787, 0.8052,  3.52678,  3.61595,    35.00,  24.85,   3.13, 
   36.420, 0.0712, 0.8095,  3.50040,  3.61357,    35.00,  24.85,   3.97, 
   36.933, 0.0638, 0.8139,  3.43896,  3.61072,    35.00,  24.85,   6.01, 
   37.446, 0.0563, 0.8182,  3.29188,  3.60715,    35.00,  24.85,  11.03, 
   37.959, 0.0489, 0.8226,  2.93550,  3.60210,    35.00,  24.85,  23.32, 
   38.215, 0.0451, 0.8248,  2.59666,  3.59845,    35.00,  24.85,  35.05, 
